Designator,Mid X,Mid Y,Layer,Rotation
R36,14.7483mm,42.75804mm,Top,0.0
R37,15.75668mm,41.39152mm,Top,180.0
R38,19.71654mm,46.39532mm,Top,0.0
R39,10.6335mm,52.65134mm,Top,180.0
R40,12.82298mm,53.15426mm,Top,270.0
U1,-0.075mm,75.181mm,Top,0.0
U2,150.259mm,15.13mm,Top,0.0
text1,77.427815mm,58.21154mm,Top,5.0
R428,22.654601000000003mm,24.902501mm,Bottom,270.0
R427,35.789001000000006mm,26.257001000000002mm,Bottom,180.0
R426,24.263201000000002mm,25.897101mm,Top,90.0
R425,25.571301000000005mm,18.782001mm,Top,270.0
R424,25.571301000000005mm,16.484901mm,Top,90.0
LED4,37.330901000000004mm,27.145901000000002mm,Top,90.0
LED3,24.263201000000002mm,23.747801000000003mm,Top,270.0
LED2,24.489901000000003mm,18.757001000000002mm,Top,270.0
LED1,24.489901000000003mm,16.509901mm,Top,90.0
R422,31.480601000000004mm,27.257001000000002mm,Bottom,0.0
C426,25.249001000000003mm,21.857001mm,Top,180.0
C425,27.939001000000005mm,21.857001mm,Top,0.0
F410,30.782001mm,13.590201mm,Top,180.0
C415,25.615601000000005mm,27.557001mm,Bottom,180.0
C414,26.590601000000003mm,18.047001mm,Bottom,0.0
U411,28.016801mm,22.907001mm,Bottom,270.0
D410,35.139001mm,13.890201000000001mm,Bottom,0.0
R411,35.040601mm,10.990201000000003mm,Bottom,90.0
D417,32.390601000000004mm,10.757001000000002mm,Bottom,0.0
C410,27.146001000000005mm,12.697001mm,Bottom,0.0
D412,31.489001000000002mm,10.140201000000001mm,Top,0.0
R410,34.265601000000004mm,10.107001mm,Top,180.0
D413,31.489001000000002mm,11.765201000000001mm,Top,0.0
C411,32.415601mm,12.557001mm,Bottom,180.0
R413,32.415601mm,14.090201mm,Bottom,180.0
D414,34.939001000000005mm,12.557001mm,Bottom,180.0
D418,31.209001000000004mm,17.757001000000002mm,Top,180.0
D416,26.337401000000003mm,13.663301mm,Top,0.0
U410,26.740601000000005mm,11.057001mm,Top,0.0
C412,27.146001000000005mm,10.657001000000001mm,Bottom,0.0
C413,29.115601000000005mm,11.494101mm,Top,270.0
D411,34.790601mm,12.565501000000001mm,Top,180.0
U420,33.875601mm,21.665201000000003mm,Bottom,0.0
R420,29.765601000000004mm,13.240101000000003mm,Bottom,270.0
C429,31.580601mm,26.257001000000002mm,Bottom,180.0
C427,30.859301000000002mm,13.055101mm,Bottom,90.0
C428,33.769701000000005mm,26.257001000000002mm,Bottom,0.0
C423,32.942401000000004mm,16.165201000000003mm,Bottom,270.0
C421,31.750801000000003mm,16.165201000000003mm,Bottom,270.0
C422,30.559301000000005mm,16.165201000000003mm,Bottom,270.0
C424,34.139001mm,16.165201000000003mm,Bottom,90.0
R421,30.384301000000004mm,17.927001mm,Bottom,180.0
R423,33.669701mm,27.257001000000002mm,Bottom,0.0
D420,32.139001mm,28.257001000000002mm,Top,180.0
C420,35.189001000000005mm,15.757001mm,Bottom,90.0
L420,27.239001000000002mm,15.857001mm,Bottom,0.0
D421,26.889001000000004mm,26.217801mm,Top,90.0
L421,32.639001mm,23.657001mm,Top,180.0
C601,129.98000000000002mm,20.912mm,Bottom,90.0
C602,130.93mm,20.912mm,Bottom,90.0
C603,130.93mm,23.112mm,Bottom,270.0
C604,131.88000000000002mm,20.912mm,Bottom,90.0
C605,118.055mm,22.570331999999997mm,Bottom,180.0
C606,131.88000000000002mm,23.112mm,Bottom,90.0
C607,114.38000000000001mm,18.686999999999998mm,Bottom,180.0
C608,131.655mm,12.436999999999998mm,Bottom,0.0
C617,137.48000000000002mm,15.087371999999998mm,Bottom,90.0
C618,135.05506400000002mm,20.686999999999998mm,Bottom,180.0
D604,135.455mm,22.862mm,Bottom,0.0
R602,123.15500000000002mm,17.811999999999998mm,Bottom,0.0
R603,123.93mm,15.811999999999998mm,Bottom,180.0
R604,129.98000000000002mm,23.112mm,Bottom,270.0
R605,123.95500000000001mm,16.811999999999998mm,Bottom,0.0
R606,115.35500000000002mm,17.537mm,Bottom,0.0
R607,118.055mm,23.636999999999997mm,Bottom,0.0
R608,122.055mm,16.811999999999998mm,Bottom,180.0
R609,129.055mm,12.461999999999998mm,Bottom,0.0
R610,119.98000000000002mm,20.061999999999998mm,Bottom,0.0
R611,118.055mm,20.061999999999998mm,Bottom,0.0
R612,118.055mm,21.328666mm,Bottom,180.0
R613,128.08mm,14.161999999999999mm,Bottom,270.0
R614,131.65929100000002mm,13.386999999999999mm,Bottom,180.0
R615,129.60500000000002mm,13.861999999999998mm,Bottom,180.0
R616,114.40500000000002mm,13.886999999999999mm,Bottom,0.0
R618,126.68mm,15.811999999999998mm,Bottom,0.0
R619,125.85500000000002mm,16.811999999999998mm,Bottom,0.0
R620,125.85500000000002mm,17.811999999999998mm,Bottom,180.0
R621,137.48000000000002mm,12.951999999999998mm,Bottom,90.0
R622,116.35500000000002mm,13.886999999999999mm,Bottom,180.0
R623,127.73000000000002mm,17.811999999999998mm,Bottom,0.0
R624,131.655mm,11.486999999999998mm,Bottom,180.0
R629,137.47mm,17.098347999999998mm,Bottom,270.0
R630,122.64000000000001mm,14.371999999999998mm,Bottom,0.0
U600,125.43mm,21.362mm,Bottom,90.0
U601,134.78mm,12.436999999999998mm,Bottom,180.0
U605,133.28mm,17.162371999999998mm,Bottom,0.0
C600,123.19250000000001mm,22.737mm,Top,90.0
C609,131.50500000000002mm,21.311999999999998mm,Top,90.0
C610,136.90300000000002mm,14.761999999999999mm,Top,180.0
C611,122.08000000000001mm,16.662mm,Top,90.0
C612,122.08000000000001mm,14.761999999999999mm,Top,270.0
C613,136.00500000000002mm,19.287mm,Top,180.0
C614,122.08000000000001mm,18.787mm,Top,270.0
C615,132.18mm,11.986999999999998mm,Top,270.0
C616,133.85500000000002mm,16.8245mm,Top,90.0
D600,113.48000000000002mm,21.886999999999997mm,Top,270.0
D601,126.25500000000001mm,23.212mm,Top,0.0
D602,129.23000000000002mm,23.212mm,Top,180.0
D603,133.76245mm,12.381999999999998mm,Top,90.0
Q600,117.92000000000002mm,18.662mm,Top,270.0
Q601,117.83000000000001mm,11.986999999999998mm,Top,0.0
R600,122.13000000000001mm,20.837mm,Top,90.0
R601,122.13000000000001mm,22.737mm,Top,90.0
R617,123.38000000000001mm,11.986999999999998mm,Top,270.0
R625,134.03mm,19.311999999999998mm,Top,180.0
R626,124.25500000000001mm,22.737mm,Top,90.0
R627,131.38000000000002mm,23.186999999999998mm,Top,90.0
R628,134.25500000000002mm,14.761999999999999mm,Top,0.0
U602,127.73000000000002mm,16.512mm,Top,270.0
U603,136.35500000000002mm,12.511999999999999mm,Top,90.0
U604,136.305mm,16.987mm,Top,180.0
R148,68.587005mm,20.487004999999996mm,Bottom,0.0
R142,67.187005mm,19.587004999999998mm,Bottom,0.0
U108,51.006805mm,52.678005mm,Top,180.0
VD103,48.187005mm,48.092005mm,Bottom,90.0
U101,76.237005mm,23.240605mm,Top,90.0
C119,68.586905mm,27.967605mm,Bottom,180.0
R147,59.575405mm,20.170704999999998mm,Bottom,180.0
R146,79.253105mm,21.587004999999998mm,Bottom,90.0
R141,66.187005mm,19.587004999999998mm,Bottom,0.0
U102,71.130505mm,24.958505mm,Bottom,0.0
R109,71.070705mm,25.554205mm,Top,0.0
R108,73.987005mm,25.943005mm,Bottom,0.0
Q103,70.344205mm,23.490205mm,Top,0.0
Q102,65.792005mm,20.887005000000002mm,Top,0.0
Q101,71.514505mm,20.652005000000003mm,Bottom,180.0
Q100,74.887005mm,23.292005mm,Bottom,90.0
L100,64.987605mm,39.337005mm,Bottom,0.0
F100,63.13200500000001mm,20.658605mm,Bottom,0.0
C120,66.886905mm,39.487505mm,Top,180.0
C107,72.008505mm,22.887005mm,Bottom,180.0
C106,71.98350500000001mm,27.230105mm,Bottom,180.0
U110,72.433905mm,29.282104999999998mm,Bottom,90.0
R145,72.394805mm,32.242305mm,Bottom,180.0
R144,72.394805mm,31.296805mm,Bottom,180.0
R143,78.990205mm,43.455805mm,Bottom,90.0
R107,70.273105mm,21.308605mm,Top,180.0
D108,70.633905mm,19.937005mm,Top,0.0
U107,49.280505000000005mm,43.483104999999995mm,Bottom,180.0
U106,48.594605mm,30.055205mm,Top,180.0
C134,49.280505000000005mm,45.219405mm,Bottom,180.0
C126,48.291805000000004mm,28.111905mm,Top,0.0
VD102,51.540805000000006mm,48.092005mm,Bottom,90.0
VD101,48.187005mm,52.482005mm,Bottom,270.0
VD100,51.540805000000006mm,52.482005mm,Bottom,270.0
U109,51.006805mm,50.203005mm,Top,180.0
U103,73.887005mm,36.862004999999996mm,Bottom,90.0
U100,76.286905mm,30.186505mm,Top,270.0
U195,69.087005mm,44.337005mm,Top,270.0
U190,54.887005mm,44.337005mm,Top,270.0
U185,76.187005mm,44.337005mm,Top,270.0
U180,61.987005mm,44.337005mm,Top,270.0
S101,60.187305mm,21.072705mm,Top,180.0
S100,49.040505mm,34.187005mm,Top,270.0
R140,55.086905mm,50.387005mm,Bottom,180.0
R111,78.887005mm,39.037005mm,Bottom,0.0
R112,78.887005mm,37.987004999999996mm,Bottom,0.0
R117,78.887005mm,32.737004999999996mm,Bottom,0.0
R115,78.887005mm,34.837005mm,Bottom,0.0
R116,78.887005mm,33.787005mm,Bottom,0.0
R114,78.887005mm,35.887005mm,Bottom,0.0
R113,78.887005mm,36.937005mm,Bottom,0.0
R110,78.887005mm,40.087005mm,Bottom,0.0
R120,48.568705mm,26.900005mm,Top,180.0
R100,79.186905mm,30.187005mm,Bottom,270.0
R258,58.429305mm,50.892105mm,Bottom,90.0
R255,79.237005mm,52.787005mm,Bottom,90.0
R256,57.487005mm,48.187005mm,Bottom,270.0
R254,79.337005mm,50.337005mm,Top,90.0
R245,61.786905000000004mm,51.837005mm,Bottom,180.0
R227,66.587005mm,51.837005mm,Bottom,180.0
R200,76.186905mm,51.837005mm,Bottom,180.0
R197,69.086905mm,42.987004999999996mm,Bottom,0.0
R196,69.087005mm,45.787005mm,Bottom,180.0
R195,66.23690500000001mm,46.287005mm,Bottom,90.0
R191,54.987005mm,42.987004999999996mm,Bottom,0.0
R190,54.987005mm,45.787005mm,Bottom,180.0
R186,76.187005mm,42.987004999999996mm,Bottom,0.0
R185,76.187005mm,45.787005mm,Bottom,180.0
R181,61.987005mm,42.987004999999996mm,Bottom,0.0
R180,61.987005mm,45.787005mm,Bottom,180.0
R139,53.887005mm,52.887005mm,Top,90.0
R138,55.087005000000005mm,52.887005mm,Top,90.0
R137,56.287005mm,52.887005mm,Top,90.0
R136,57.487005mm,52.887005mm,Top,90.0
R135,53.887005mm,51.887005mm,Top,270.0
R132,55.087005000000005mm,51.887005mm,Top,270.0
R126,56.287005mm,51.887005mm,Top,270.0
R124,57.487005mm,51.887005mm,Top,270.0
R119,78.28700500000001mm,38.987004999999996mm,Top,270.0
R118,78.28700500000001mm,34.887005mm,Top,270.0
R253,59.887005mm,52.887005mm,Top,270.0
R252,61.087005000000005mm,52.887005mm,Top,270.0
R251,62.287005mm,52.887005mm,Top,270.0
R250,63.487005mm,52.887005mm,Top,270.0
R249,59.887005mm,51.887005mm,Top,90.0
R248,61.087005000000005mm,51.887005mm,Top,90.0
R247,62.287005mm,51.887005mm,Top,90.0
R246,63.487005mm,51.887005mm,Top,90.0
R235,64.687005mm,52.887005mm,Top,270.0
R234,65.887005mm,52.887005mm,Top,270.0
R233,67.087005mm,52.887005mm,Top,270.0
R232,68.28700500000001mm,52.887005mm,Top,270.0
R231,64.687005mm,51.887005mm,Top,90.0
R230,65.887005mm,51.887005mm,Top,90.0
R229,67.087005mm,51.887005mm,Top,90.0
R228,68.28700500000001mm,51.887005mm,Top,90.0
R226,69.487005mm,52.887005mm,Top,90.0
R225,70.687005mm,52.887005mm,Top,90.0
R224,71.887005mm,52.887005mm,Top,90.0
R223,73.087005mm,52.887005mm,Top,90.0
R222,69.487005mm,51.887005mm,Top,270.0
R221,70.687005mm,51.887005mm,Top,270.0
R220,71.887005mm,51.887005mm,Top,270.0
R219,73.087005mm,51.887005mm,Top,270.0
R218,71.387005mm,51.837005mm,Bottom,180.0
R208,74.28700500000001mm,52.887005mm,Top,90.0
R207,75.487005mm,52.887005mm,Top,90.0
R206,76.687005mm,52.887005mm,Top,90.0
R205,77.887005mm,52.887005mm,Top,90.0
R204,74.28700500000001mm,51.887005mm,Top,270.0
R203,75.487005mm,51.887005mm,Top,270.0
R202,76.687005mm,51.887005mm,Top,270.0
